4 20 50
18 0.1416 0.4973 1
7 0.1570 0.1823 0
18 0.3003 0.4231 0
16 0.2767 0.6607 0
16 0.1498 0.8045 0
7 0.5517 0.7806 0
9 0.3806 0.4240 1
17 0.4685 0.5832 0
13 0.4130 0.6182 1
15 0.1128 0.9168 0
2 0.5025 0.6422 0
4 0.2179 0.4977 1
8 0.0567 0.8755 0
16 0.3174 0.4048 0
12 0.3332 0.6343 0
9 0.0321 0.7853 1
6 0.1661 0.7584 1
17 0.3255 0.5393 1
18 0.5915 0.9832 0
6 0.2986 0.3485 0
17 0.2121 0.3051 1
11 0.1807 0.7168 0
8 0.0582 0.7084 1
18 0.2090 0.2274 1
2 0.2360 0.2621 0
11 0.2674 0.6041 1
2 0.3443 0.8057 0
11 0.2028 0.4100 0
10 0.3513 0.5982 1
12 0.0132 0.8626 0
14 0.7809 0.9298 1
7 0.2454 0.7847 0
0 0.4033 0.8465 1
2 0.3294 0.8781 1
10 0.3054 0.6012 0
1 0.4161 0.9086 0
9 0.2380 0.8178 0
5 0.4440 0.7628 0
9 0.3060 0.6016 0
16 0.1366 0.6210 0
13 0.2434 0.9734 1
12 0.0805 0.4876 1
13 0.3457 0.3551 0
4 0.4789 0.8544 0
16 0.0194 0.0336 1
8 0.3023 0.4038 1
4 0.0122 0.5265 0
5 0.5996 0.9708 0
3 0.0191 0.4620 0
17 0.5312 0.5505 0
